dteday;casual;registered;cnt
01/01/11;331;654;985
02/01/11;131;670;801
03/01/11;120;1229;1349
04/01/11;108;1454;1562
05/01/11;82;1518;1600
06/01/11;88;1518;1606
07/01/11;148;1362;1510
08/01/11;68;891;959
09/01/11;54;768;822
10/01/11;41;1280;1321
11/01/11;43;1220;1263
12/01/11;25;1137;1162
13/01/11;38;1368;1406
14/01/11;54;1367;1421
15/01/11;222;1026;1248
16/01/11;251;953;1204
17/01/11;117;883;1000
18/01/11;9;674;683
19/01/11;78;1572;1650
20/01/11;83;1844;1927
21/01/11;75;1468;1543
22/01/11;93;888;981
23/01/11;150;836;986
24/01/11;86;1330;1416
25/01/11;186;1799;1985
26/01/11;34;472;506
27/01/11;15;416;431
28/01/11;38;1129;1167
29/01/11;123;975;1098
30/01/11;140;956;1096
31/01/11;42;1459;1501
01/02/11;47;1313;1360
02/02/11;72;1454;1526
03/02/11;61;1489;1550
04/02/11;88;1620;1708
05/02/11;100;905;1005
06/02/11;354;1269;1623
07/02/11;120;1592;1712
08/02/11;64;1466;1530
09/02/11;53;1552;1605
10/02/11;47;1491;1538
11/02/11;149;1597;1746
12/02/11;288;1184;1472
13/02/11;397;1192;1589
14/02/11;208;1705;1913
15/02/11;140;1675;1815
16/02/11;218;1897;2115
17/02/11;259;2216;2475
18/02/11;579;2348;2927
19/02/11;532;1103;1635
20/02/11;639;1173;1812
21/02/11;195;912;1107
22/02/11;74;1376;1450
23/02/11;139;1778;1917
24/02/11;100;1707;1807
25/02/11;120;1341;1461
26/02/11;424;1545;1969
27/02/11;694;1708;2402
28/02/11;81;1365;1446
01/03/11;137;1714;1851
02/03/11;231;1903;2134
03/03/11;123;1562;1685
04/03/11;214;1730;1944
05/03/11;640;1437;2077
06/03/11;114;491;605
07/03/11;244;1628;1872
08/03/11;316;1817;2133
09/03/11;191;1700;1891
10/03/11;46;577;623
11/03/11;247;1730;1977
12/03/11;724;1408;2132
13/03/11;982;1435;2417
14/03/11;359;1687;2046
15/03/11;289;1767;2056
16/03/11;321;1871;2192
17/03/11;424;2320;2744
18/03/11;884;2355;3239
19/03/11;1424;1693;3117
20/03/11;1047;1424;2471
21/03/11;401;1676;2077
22/03/11;460;2243;2703
23/03/11;203;1918;2121
24/03/11;166;1699;1865
25/03/11;300;1910;2210
26/03/11;981;1515;2496
27/03/11;472;1221;1693
28/03/11;222;1806;2028
29/03/11;317;2108;2425
30/03/11;168;1368;1536
31/03/11;179;1506;1685
01/04/11;307;1920;2227
02/04/11;898;1354;2252
03/04/11;1651;1598;3249
04/04/11;734;2381;3115
05/04/11;167;1628;1795
06/04/11;413;2395;2808
07/04/11;571;2570;3141
08/04/11;172;1299;1471
09/04/11;879;1576;2455
10/04/11;1188;1707;2895
11/04/11;855;2493;3348
12/04/11;257;1777;2034
13/04/11;209;1953;2162
14/04/11;529;2738;3267
15/04/11;642;2484;3126
16/04/11;121;674;795
17/04/11;1558;2186;3744
18/04/11;669;2760;3429
19/04/11;409;2795;3204
20/04/11;613;3331;3944
21/04/11;745;3444;4189
22/04/11;177;1506;1683
23/04/11;1462;2574;4036
24/04/11;1710;2481;4191
25/04/11;773;3300;4073
26/04/11;678;3722;4400
27/04/11;547;3325;3872
28/04/11;569;3489;4058
29/04/11;878;3717;4595
30/04/11;1965;3347;5312
01/05/11;1138;2213;3351
02/05/11;847;3554;4401
03/05/11;603;3848;4451
04/05/11;255;2378;2633
05/05/11;614;3819;4433
06/05/11;894;3714;4608
07/05/11;1612;3102;4714
08/05/11;1401;2932;4333
09/05/11;664;3698;4362
10/05/11;694;4109;4803
11/05/11;550;3632;4182
12/05/11;695;4169;4864
13/05/11;692;3413;4105
14/05/11;902;2507;3409
15/05/11;1582;2971;4553
16/05/11;773;3185;3958
17/05/11;678;3445;4123
18/05/11;536;3319;3855
19/05/11;735;3840;4575
20/05/11;909;4008;4917
21/05/11;2258;3547;5805
22/05/11;1576;3084;4660
23/05/11;836;3438;4274
24/05/11;659;3833;4492
25/05/11;740;4238;4978
26/05/11;758;3919;4677
27/05/11;871;3808;4679
28/05/11;2001;2757;4758
29/05/11;2355;2433;4788
30/05/11;1549;2549;4098
31/05/11;673;3309;3982
01/06/11;513;3461;3974
02/06/11;736;4232;4968
03/06/11;898;4414;5312
04/06/11;1869;3473;5342
05/06/11;1685;3221;4906
06/06/11;673;3875;4548
07/06/11;763;4070;4833
08/06/11;676;3725;4401
09/06/11;563;3352;3915
10/06/11;815;3771;4586
11/06/11;1729;3237;4966
12/06/11;1467;2993;4460
13/06/11;863;4157;5020
14/06/11;727;4164;4891
15/06/11;769;4411;5180
16/06/11;545;3222;3767
17/06/11;863;3981;4844
18/06/11;1807;3312;5119
19/06/11;1639;3105;4744
20/06/11;699;3311;4010
21/06/11;774;4061;4835
22/06/11;661;3846;4507
23/06/11;746;4044;4790
24/06/11;969;4022;4991
25/06/11;1782;3420;5202
26/06/11;1920;3385;5305
27/06/11;854;3854;4708
28/06/11;732;3916;4648
29/06/11;848;4377;5225
30/06/11;1027;4488;5515
01/07/11;1246;4116;5362
02/07/11;2204;2915;5119
03/07/11;2282;2367;4649
04/07/11;3065;2978;6043
05/07/11;1031;3634;4665
06/07/11;784;3845;4629
07/07/11;754;3838;4592
08/07/11;692;3348;4040
09/07/11;1988;3348;5336
10/07/11;1743;3138;4881
11/07/11;723;3363;4086
12/07/11;662;3596;4258
13/07/11;748;3594;4342
14/07/11;888;4196;5084
15/07/11;1318;4220;5538
16/07/11;2418;3505;5923
17/07/11;2006;3296;5302
18/07/11;841;3617;4458
19/07/11;752;3789;4541
20/07/11;644;3688;4332
21/07/11;632;3152;3784
22/07/11;562;2825;3387
23/07/11;987;2298;3285
24/07/11;1050;2556;3606
25/07/11;568;3272;3840
26/07/11;750;3840;4590
27/07/11;755;3901;4656
28/07/11;606;3784;4390
29/07/11;670;3176;3846
30/07/11;1559;2916;4475
31/07/11;1524;2778;4302
01/08/11;729;3537;4266
02/08/11;801;4044;4845
03/08/11;467;3107;3574
04/08/11;799;3777;4576
05/08/11;1023;3843;4866
