casual;registered;cnt
331;654;985
131;670;801
120;1229;1349
108;1454;1562
82;1518;1600
88;1518;1606
148;1362;1510
68;891;959
54;768;822
41;1280;1321
43;1220;1263
25;1137;1162
38;1368;1406
54;1367;1421
222;1026;1248
251;953;1204
117;883;1000
9;674;683
78;1572;1650
83;1844;1927
75;1468;1543
93;888;981
150;836;986
86;1330;1416
186;1799;1985
34;472;506
15;416;431
38;1129;1167
123;975;1098
140;956;1096
42;1459;1501
47;1313;1360
72;1454;1526
61;1489;1550
88;1620;1708
100;905;1005
354;1269;1623
120;1592;1712
64;1466;1530
53;1552;1605
47;1491;1538
149;1597;1746
288;1184;1472
397;1192;1589
208;1705;1913
140;1675;1815
218;1897;2115
259;2216;2475
579;2348;2927
532;1103;1635
639;1173;1812
195;912;1107
74;1376;1450
139;1778;1917
100;1707;1807
120;1341;1461
424;1545;1969
694;1708;2402
81;1365;1446
137;1714;1851
231;1903;2134
123;1562;1685
214;1730;1944
640;1437;2077
114;491;605
244;1628;1872
316;1817;2133
191;1700;1891
46;577;623
247;1730;1977
724;1408;2132
982;1435;2417
359;1687;2046
289;1767;2056
321;1871;2192
424;2320;2744
884;2355;3239
1424;1693;3117
1047;1424;2471
401;1676;2077
460;2243;2703
203;1918;2121
166;1699;1865
300;1910;2210
981;1515;2496
472;1221;1693
222;1806;2028
317;2108;2425
168;1368;1536
179;1506;1685
307;1920;2227
898;1354;2252
1651;1598;3249
734;2381;3115
167;1628;1795
413;2395;2808
571;2570;3141
172;1299;1471
879;1576;2455
1188;1707;2895
855;2493;3348
257;1777;2034
209;1953;2162
529;2738;3267
642;2484;3126
121;674;795
1558;2186;3744
669;2760;3429
409;2795;3204
613;3331;3944
745;3444;4189
177;1506;1683
1462;2574;4036
1710;2481;4191
773;3300;4073
678;3722;4400
547;3325;3872
569;3489;4058
878;3717;4595
1965;3347;5312
1138;2213;3351
847;3554;4401
603;3848;4451
255;2378;2633
614;3819;4433
894;3714;4608
1612;3102;4714
1401;2932;4333
664;3698;4362
694;4109;4803
550;3632;4182
695;4169;4864
692;3413;4105
902;2507;3409
1582;2971;4553
773;3185;3958
678;3445;4123
536;3319;3855
735;3840;4575
909;4008;4917
2258;3547;5805
1576;3084;4660
836;3438;4274
659;3833;4492
740;4238;4978
758;3919;4677
871;3808;4679
2001;2757;4758
2355;2433;4788
1549;2549;4098
673;3309;3982
513;3461;3974
736;4232;4968
898;4414;5312
1869;3473;5342
1685;3221;4906
673;3875;4548
763;4070;4833
676;3725;4401
563;3352;3915
815;3771;4586
1729;3237;4966
1467;2993;4460
863;4157;5020
727;4164;4891
769;4411;5180
545;3222;3767
863;3981;4844
1807;3312;5119
1639;3105;4744
699;3311;4010
774;4061;4835
661;3846;4507
746;4044;4790
969;4022;4991
1782;3420;5202
1920;3385;5305
854;3854;4708
732;3916;4648
848;4377;5225
1027;4488;5515
1246;4116;5362
2204;2915;5119
2282;2367;4649
3065;2978;6043
1031;3634;4665
784;3845;4629
754;3838;4592
692;3348;4040
1988;3348;5336
1743;3138;4881
723;3363;4086
662;3596;4258
748;3594;4342
888;4196;5084
1318;4220;5538
2418;3505;5923
2006;3296;5302
841;3617;4458
752;3789;4541
644;3688;4332
632;3152;3784
562;2825;3387
987;2298;3285
1050;2556;3606
568;3272;3840
750;3840;4590
755;3901;4656
606;3784;4390
670;3176;3846
1559;2916;4475
1524;2778;4302
729;3537;4266
801;4044;4845
467;3107;3574
799;3777;4576
1023;3843;4866
1521;2773;4294
1298;2487;3785
846;3480;4326
907;3695;4602
884;3896;4780
812;3980;4792
1051;3854;4905
1504;2646;4150
1338;2482;3820
775;3563;4338
721;4004;4725
668;4026;4694
639;3166;3805
797;3356;4153
1914;3277;5191
1249;2624;3873
833;3925;4758
1281;4614;5895
949;4181;5130
435;3107;3542
768;3893;4661
226;889;1115
1415;2919;4334
729;3905;4634
775;4429;5204
688;4370;5058
783;4332;5115
875;3852;4727
1935;2549;4484
2521;2419;4940
1236;2115;3351
204;2506;2710
118;1878;1996
153;1689;1842
417;3127;3544
1750;3595;5345
1633;3413;5046
690;4023;4713
701;4062;4763
647;4138;4785
428;3231;3659
742;4018;4760
1434;3077;4511
1353;2921;4274
691;3848;4539
438;3203;3641
539;3813;4352
555;4240;4795
258;2137;2395
1776;3647;5423
1544;3466;5010
684;3946;4630
477;3643;4120
480;3427;3907
653;4186;4839
830;4372;5202
480;1949;2429
616;2302;2918
330;3240;3570
486;3970;4456
559;4267;4826
639;4126;4765
949;4036;4985
2235;3174;5409
2397;3114;5511
1514;3603;5117
667;3896;4563
217;2199;2416
290;2623;2913
529;3115;3644
1899;3318;5217
1748;3293;5041
713;3857;4570
637;4111;4748
254;2170;2424
471;3724;4195
676;3628;4304
1499;2809;4308
1619;2762;4381
699;3488;4187
695;3992;4687
404;3490;3894
240;2419;2659
456;3291;3747
57;570;627
885;2446;3331
362;3307;3669
410;3658;4068
370;3816;4186
318;3656;3974
470;3576;4046
1156;2770;3926
952;2697;3649
373;3662;4035
376;3829;4205
305;3804;4109
190;2743;2933
440;2928;3368
1275;2792;4067
1004;2713;3717
595;3891;4486
449;3746;4195
145;1672;1817
139;2914;3053
245;3147;3392
943;2720;3663
787;2733;3520
220;2545;2765
69;1538;1607
112;2454;2566
560;935;1495
1095;1697;2792
1249;1819;3068
810;2261;3071
253;3614;3867
96;2818;2914
188;3425;3613
182;3545;3727
268;3672;3940
706;2908;3614
634;2851;3485
233;3578;3811
126;2468;2594
50;655;705
150;3172;3322
261;3359;3620
502;2688;3190
377;2366;2743
143;3167;3310
155;3368;3523
178;3562;3740
181;3528;3709
